round_epochs,loss,acc,val_loss,val_acc,activation1,activation2,activation3,activation4,dropout,optimizer
30,0.13941961526870728,1.0,1.8613307476043701,0.5625,relu,relu,relu,relu,0.1,adam
30,0.4996875524520874,0.7900000214576721,0.8866474628448486,0.5,relu,relu,relu,relu,0.1,sgd
30,0.1611042469739914,0.949999988079071,2.2929797172546387,0.5625,relu,relu,relu,relu,0.3,adam
30,0.5093566179275513,0.7900000214576721,0.7886233925819397,0.5,relu,relu,relu,relu,0.3,sgd
30,0.06426405906677246,0.9800000190734863,2.682405710220337,0.5625,relu,relu,relu,relu,0.5,adam
30,0.4806990921497345,0.7900000214576721,1.0740329027175903,0.5,relu,relu,relu,relu,0.5,sgd
30,0.0022071406710892916,1.0,1.9424291849136353,0.5625,relu,relu,relu,tanh,0.1,adam
30,0.4524732232093811,0.7900000214576721,0.7902300953865051,0.5,relu,relu,relu,tanh,0.1,sgd
30,0.05841074138879776,0.9900000095367432,1.7790303230285645,0.625,relu,relu,relu,tanh,0.3,adam
30,0.50139319896698,0.7900000214576721,0.8845980167388916,0.5,relu,relu,relu,tanh,0.3,sgd
30,0.009678731672465801,1.0,1.5910447835922241,0.625,relu,relu,relu,tanh,0.5,adam
30,0.5007255673408508,0.7900000214576721,0.8943947553634644,0.5,relu,relu,relu,tanh,0.5,sgd
30,0.01050010696053505,1.0,1.4844310283660889,0.75,relu,relu,tanh,relu,0.1,adam
30,0.45177069306373596,0.7950000166893005,0.9997519850730896,0.5,relu,relu,tanh,relu,0.1,sgd
30,0.012171587906777859,0.9950000047683716,1.8582512140274048,0.6875,relu,relu,tanh,relu,0.3,adam
30,0.4682781994342804,0.7900000214576721,0.6581952571868896,0.625,relu,relu,tanh,relu,0.3,sgd
30,0.0139065096154809,1.0,2.2073445320129395,0.5625,relu,relu,tanh,relu,0.5,adam
30,0.49318602681159973,0.7900000214576721,0.8099309206008911,0.5,relu,relu,tanh,relu,0.5,sgd
30,0.00124270876403898,1.0,1.9097621440887451,0.6875,relu,relu,tanh,tanh,0.1,adam
30,0.4272683262825012,0.7900000214576721,0.8445289731025696,0.5,relu,relu,tanh,tanh,0.1,sgd
30,0.0044895363971591,1.0,1.7482093572616577,0.6875,relu,relu,tanh,tanh,0.3,adam
30,0.39822766184806824,0.8050000071525574,0.8032360076904297,0.5625,relu,relu,tanh,tanh,0.3,sgd
30,0.016864310950040817,1.0,1.6176187992095947,0.6875,relu,relu,tanh,tanh,0.5,adam
30,0.4516748785972595,0.7950000166893005,0.6356285810470581,0.6875,relu,relu,tanh,tanh,0.5,sgd
30,0.02157580852508545,0.9950000047683716,1.8493373394012451,0.5625,relu,tanh,relu,relu,0.1,adam
30,0.44900330901145935,0.7900000214576721,0.837582528591156,0.5,relu,tanh,relu,relu,0.1,sgd
30,0.01385341677814722,0.9950000047683716,1.655072808265686,0.6875,relu,tanh,relu,relu,0.3,adam
30,0.49883925914764404,0.7900000214576721,0.8620846271514893,0.5,relu,tanh,relu,relu,0.3,sgd
30,0.06622564047574997,0.9850000143051147,1.5337681770324707,0.6875,relu,tanh,relu,relu,0.5,adam
30,0.5240292549133301,0.7900000214576721,0.8658297657966614,0.5,relu,tanh,relu,relu,0.5,sgd
30,0.002036493271589279,1.0,1.2923427820205688,0.6875,relu,tanh,relu,tanh,0.1,adam
30,0.438968688249588,0.7900000214576721,0.8996173143386841,0.5,relu,tanh,relu,tanh,0.1,sgd
30,0.0012249104911461473,1.0,1.3116458654403687,0.6875,relu,tanh,relu,tanh,0.3,adam
30,0.4604438543319702,0.7900000214576721,0.9194067716598511,0.5,relu,tanh,relu,tanh,0.3,sgd
30,0.0035159483086317778,1.0,1.7720766067504883,0.6875,relu,tanh,relu,tanh,0.5,adam
30,0.4847234785556793,0.7900000214576721,0.9594991207122803,0.5,relu,tanh,relu,tanh,0.5,sgd
30,0.004363680258393288,1.0,1.6053431034088135,0.75,relu,tanh,tanh,relu,0.1,adam
30,0.4476754665374756,0.7900000214576721,0.9671508073806763,0.5,relu,tanh,tanh,relu,0.1,sgd
30,0.013032695278525352,0.9950000047683716,1.3117908239364624,0.75,relu,tanh,tanh,relu,0.3,adam
30,0.49982306361198425,0.7900000214576721,0.9887902736663818,0.5,relu,tanh,tanh,relu,0.3,sgd
30,0.006989551708102226,1.0,0.9566295146942139,0.8125,relu,tanh,tanh,relu,0.5,adam
30,0.474033385515213,0.7900000214576721,0.8277415633201599,0.5,relu,tanh,tanh,relu,0.5,sgd
30,0.0013379995943978429,1.0,1.6268656253814697,0.75,relu,tanh,tanh,tanh,0.1,adam
30,0.4114367663860321,0.7900000214576721,0.7755030393600464,0.5625,relu,tanh,tanh,tanh,0.1,sgd
30,0.00387940532527864,1.0,1.1625524759292603,0.8125,relu,tanh,tanh,tanh,0.3,adam
30,0.42806383967399597,0.7950000166893005,0.5922147035598755,0.625,relu,tanh,tanh,tanh,0.3,sgd
30,0.010263201780617237,1.0,1.3269411325454712,0.75,relu,tanh,tanh,tanh,0.5,adam
30,0.4009537994861603,0.8100000023841858,0.614302396774292,0.625,relu,tanh,tanh,tanh,0.5,sgd
30,0.0527944415807724,0.9800000190734863,1.0161900520324707,0.75,tanh,relu,relu,relu,0.1,adam
30,0.4870913326740265,0.7900000214576721,0.9656245708465576,0.5,tanh,relu,relu,relu,0.1,sgd
30,0.029397310689091682,0.9900000095367432,2.6544156074523926,0.5625,tanh,relu,relu,relu,0.3,adam
30,0.49994561076164246,0.7900000214576721,0.8866424560546875,0.5,tanh,relu,relu,relu,0.3,sgd
30,0.12660904228687286,0.9649999737739563,0.7061960101127625,0.75,tanh,relu,relu,relu,0.5,adam
30,0.4958327114582062,0.7900000214576721,0.9253177046775818,0.5,tanh,relu,relu,relu,0.5,sgd
30,0.0038484178949147463,1.0,1.4039511680603027,0.6875,tanh,relu,relu,tanh,0.1,adam
30,0.42531368136405945,0.7900000214576721,0.8996084928512573,0.5,tanh,relu,relu,tanh,0.1,sgd
30,0.009367084130644798,1.0,1.055054783821106,0.75,tanh,relu,relu,tanh,0.3,adam
30,0.454889714717865,0.7900000214576721,0.9461153149604797,0.5,tanh,relu,relu,tanh,0.3,sgd
30,0.007468249183148146,1.0,1.2281410694122314,0.6875,tanh,relu,relu,tanh,0.5,adam
30,0.4731324017047882,0.7900000214576721,0.8558804392814636,0.5,tanh,relu,relu,tanh,0.5,sgd
30,0.005112404935061932,1.0,1.0471510887145996,0.75,tanh,relu,tanh,relu,0.1,adam
30,0.433152973651886,0.7950000166893005,0.8043749928474426,0.5,tanh,relu,tanh,relu,0.1,sgd
30,0.013447058387100697,0.9950000047683716,1.2617013454437256,0.8125,tanh,relu,tanh,relu,0.3,adam
30,0.4626116454601288,0.7900000214576721,0.7509692907333374,0.5,tanh,relu,tanh,relu,0.3,sgd
30,0.025037195533514023,0.9950000047683716,0.8278846144676208,0.75,tanh,relu,tanh,relu,0.5,adam
30,0.4668169319629669,0.7950000166893005,0.8891370296478271,0.5,tanh,relu,tanh,relu,0.5,sgd
30,0.003596007125452161,1.0,1.1697043180465698,0.75,tanh,relu,tanh,tanh,0.1,adam
30,0.39495593309402466,0.8199999928474426,0.8480907678604126,0.5625,tanh,relu,tanh,tanh,0.1,sgd
30,0.005737704690545797,1.0,1.0395082235336304,0.75,tanh,relu,tanh,tanh,0.3,adam
30,0.37622153759002686,0.824999988079071,0.5835621356964111,0.75,tanh,relu,tanh,tanh,0.3,sgd
30,0.014284567907452583,1.0,1.2279683351516724,0.75,tanh,relu,tanh,tanh,0.5,adam
30,0.42437729239463806,0.800000011920929,0.7719080448150635,0.5625,tanh,relu,tanh,tanh,0.5,sgd
30,0.015966344624757767,1.0,1.1164168119430542,0.75,tanh,tanh,relu,relu,0.1,adam
30,0.462825208902359,0.7900000214576721,0.8976454138755798,0.5,tanh,tanh,relu,relu,0.1,sgd
30,0.014169272966682911,1.0,1.2656328678131104,0.75,tanh,tanh,relu,relu,0.3,adam
30,0.44728052616119385,0.7900000214576721,1.0499253273010254,0.5,tanh,tanh,relu,relu,0.3,sgd
30,0.04834841191768646,0.9800000190734863,1.4826198816299438,0.6875,tanh,tanh,relu,relu,0.5,adam
30,0.5019659996032715,0.7900000214576721,0.902489423751831,0.5,tanh,tanh,relu,relu,0.5,sgd
30,0.0026009834837168455,1.0,1.3718620538711548,0.6875,tanh,tanh,relu,tanh,0.1,adam
30,0.43108317255973816,0.7900000214576721,0.7663080096244812,0.5625,tanh,tanh,relu,tanh,0.1,sgd
30,0.010286117903888226,1.0,1.4067370891571045,0.6875,tanh,tanh,relu,tanh,0.3,adam
30,0.4216064512729645,0.800000011920929,1.1321213245391846,0.5,tanh,tanh,relu,tanh,0.3,sgd
30,0.010715372860431671,1.0,1.6708563566207886,0.625,tanh,tanh,relu,tanh,0.5,adam
30,0.4112769067287445,0.8149999976158142,0.8545280694961548,0.5,tanh,tanh,relu,tanh,0.5,sgd
30,0.004404816776514053,1.0,1.2325690984725952,0.8125,tanh,tanh,tanh,relu,0.1,adam
